"iso","area__ha"
"RUS",13427443975.342186
"USA",7576667396.210807
"CHN",7505788125.537433
"CAN",7211281167.751912
"BRA",6800285197.915084
"AUS",6150330716.373751
"IND",2522237210.439885
"ARG",2224080976.554208
"KAZ",2184424289.7942576
"COD",1863302246.087078
"MEX",1561483717.4055445
"SAU",1532787469.0585628
"IDN",1512195752.1728444
"SDN",1497707933.7002223
"IRN",1297391222.2252839
"MNG",1252997956.0400305
"PER",1034254948.1407938
"DZA",998650585.2909839
"AGO",997938380.1373665
"MLI",980055745.1564511
"ZAF",975768150.4284756
"COL",909406999.5573092
"TCD",905013640.9451987
"ETH",903614455.6070633
"BOL",866714276.5570163
"MRT",832937205.1291138
"EGY",787011515.4650106
"NER",754036278.4108363
"TZA",752461525.8480783
"VEN",729993803.6038157
"NGA",726727984.1632068
"PAK",699341044.7643206
"LBY",678428364.1901605
"NAM",659084977.4779092
"MOZ",629837733.2108066
"TUR",624562727.120179
"CHL",605882332.8800977
"ZMB",600393615.0953591
"MMR",535437339.24131954
"AFG",515085723.090978
"SSD",502478965.5872464
"SOM",496693106.83503205
"CAF",496159674.70735765
"UKR",481088877.66569877
"MDG",473157658.6012689
"KEN",468786685.75177515
"BWA",462307209.672206
"FRA",439611980.2582469
"THA",411243588.75424796
"ESP",404834230.72868747
"TKM",391673676.43378514
"CMR",372832047.1175323
"PNG",370904483.60914874
"YEM",361767186.33092517
"SWE",359994620.9586995
"UZB",358043104.801617
"IRQ",356286917.55212796
"MAR",330790138.8063348
"PRY",319669340.17224157
"ZWE",312544889.079792
"JPN",297922616.9458624
"XCA",297265070.1870332
"DEU",286270847.8954928
"COG",273385782.34900033
"FIN",269551343.92749625
"MYS",263506790.69220257
"VNM",263420799.58019888
"NOR",260097768.2859081
"CIV",257326352.8649293
"POL",249919342.40071502
"OMN",247466192.691495
"ITA",240603542.27178305
"PHL",236685265.3031686
"BFA",218733685.96174863
"ESH",213856476.41717783
"NZL",213732600.79382262
"GAB",211639759.0615788
"ECU",204892364.07219505
"GIN",195852853.46817952
"GBR",195108378.25302783
"UGA",193151623.51443088
"ROU",190670349.11020458
"GHA",190659304.97127366
"LAO",184001182.2937706
"GUY",167795329.10683864
"BLR",165655296.70466217
"KGZ",158919189.6308576
"SEN",157511861.70077944
"SYR",149534401.2818962
"KHM",145087686.34874332
"URY",141972594.75480357
"TUN",123891666.16762787
"NPL",118129996.3552506
"SUR",117140454.92234257
"TJK",113690363.24576806
"BGD",111507499.8640731
"GRC",106060043.28787024
"NIC",102575826.61419201
"PRK",98204153.10871437
"ERI",96365865.58070515
"MWI",94423083.1592302
"BEN",92338546.75538374
"HND",89831839.18069996
"BGR",89269847.63938452
"CUB",88584976.18554257
"GTM",87320787.92166913
"KOR",80182638.3357887
"LBR",76734412.66376914
"HUN",74442109.95541047
"PRT",71644045.42546207
"JOR",71295034.41046907
"AZE",68988260.31415229
"AUT",67086415.24400677
"GUF",66640773.81223409
"CZE",63068471.08779001
"SRB",62585123.93142973
"PAN",60083359.235629216
"SLE",58081087.08918965
"ARE",56963583.22117354
"IRL",56293153.60067845
"GEO",55875659.09339413
"LKA",52669816.11650784
"LTU",52013303.51482776
"LVA",51767970.08739098
"HRV",45662721.794049904
"TGO",45596153.61615166
"SJM",41905115.98779507
"CRI",40941334.57300891
"BIH",40855066.354843795
"SVK",39279326.437781036
"DOM",38473561.507011876
"EST",36391792.10142297
"DNK",34515775.84678491
"CHE",32996397.13496151
"BTN",31010368.977228288
"NLD",30132530.915180583
"TWN",29125211.17859812
"MDA",27126246.712618757
"GNB",27105640.03691582
"BEL",24565953.312535428
"LSO",24436249.302854057
"ARM",23752069.439925227
"ALB",22988297.657992892
"SLB",22826591.437513784
"HTI",21685468.69816503
"GNQ",21567482.70634785
"BDI",21548251.53457387
"RWA",20222159.29746188
"MKD",19860119.66091747
"ISR",17727066.931426786
"BLZ",17497266.965639453
"DJI",17490686.119974494
"SLV",16338182.871595155
"SVN",15984726.283940349
"NCL",15060475.259746773
"FJI",14465847.77734684
"KWT",13911150.362797793
"SWZ",13906664.50411332
"TLS",11932523.138696745
"BHS",10710100.63924331
"MNE",10668186.069882568
"FLK",9918114.15807244
"VUT",9855090.023491316
"QAT",9299950.397010468
"JAM",8799839.462365553
"XKO",8735811.583570767
"GMB",8536406.015553497
"LBN",8190430.88652641
"PRI",7176298.197158968
"PSE",4975973.4665609
"BRN",4622230.191033558
"CYP",4575646.847223541
"TTO",4127196.756354804
"CPV",3272783.252816558
"XNC",2651255.3132612514
"LUX",2065245.9151687857
"REU",2010168.8401168992
"MUS",1530934.115757462
"COM",1338438.6264092901
"GLP",1320230.4141590144
"ALA",1205145.5917734625
"HKG",903305.7266561262
"MTQ",894303.6413783212
"STP",801743.9018032782
"TCA",793216.1267877583
"DMA",603424.6241181898
"BHR",572141.7084012338
"SGP",557629.5684703075
"LCA",491581.03332449147
"IMN",463732.0765804718
"PLW",389945.6430463962
"AND",361571.2858550301
"CUW",350215.89914079726
"ATG",348605.26737037115
"BRB",347729.1688331074
"VCT",318311.77302918374
"MYT",313321.43721021654
"VIR",289711.32581450837
"GRD",287626.6934534601
"BES",258927.88710396737
"MLT",258678.32623433316
"CYM",224318.62966027058
"MDV",223301.70428635672
"KNA",213742.30181138043
"XAD",187587.0505805186
"SPM",181308.1827190876
"SYC",162135.56129425517
"ABW",145580.0900633369
"VGB",135456.3559955668
"LIE",129630.47457550773
"JEY",100100.41565553253
"FSM",82135.55594053994
"MSR",80494.57663315888
"GGY",70759.50047206412
"AIA",66657.98212879158
"BMU",54464.948754254554
"SMR",48978.8236815416
"MAF",44930.74228435136
"ATF",34894.15450190062
"NFK",32500.790998670465
"SXM",30411.10012172848
"MAC",27302.29139432206
"BLM",19748.198538787048
"NRU",17721.868210708846
"XPI",15753.701728929038
"XCL",8069.112786979204
"GIB",5769.731727057795
"KIR",5518.788040261516
"UMI",4333.438102436923
"MCO",1882.379875826812
"XSP",1505.2234997231392
"VAT",423.02431747155777
"TUV",399.2066799086423
"GRL",40.835015887515034
